D1-Memory D1-Naive D2-Memory D3-Memory D3-Naive D4-Memory D4-Naive
HPCAL4 3 13 2 2 17 7 27
PPIE 1729 1830 2118 1630 2105 2115 2593
TRIT1 538 669 574 454 548 687 924
MFSD2A 111 83 149 105 96 223 136
CAP1 8579 6439 11270 7398 6479 12165 8769
PPT1 1595 1002 1921 1195 950 2035 1551
RLF 634 1198 477 619 1895 702 1814
RP1-39G22.7 147 198 114 112 248 169 185
ZMPSTE24 1000 479 1267 793 504 1347 617
COL9A2 333 178 232 295 180 502 219
SMAP2 5653 6505 6665 5008 5497 8402 9498
ZFP69B 124 150 87 110 169 115 194
ZFP69 68 43 59 47 52 64 60
EXO5 193 107 245 171 119 244 147
ZNF684 155 89 159 119 80 135 102
RIMS3 36 22 35 26 29 30 37
NFYC-AS1 52 47 61 77 54 78 97
NFYC 861 1098 1093 777 1343 1132 1407
CITED4 36 173 30 56 315 37 166
CTPS1 790 356 1175 577 302 1052 509
SCMH1 190 129 234 160 162 267 206
HIVEP3 336 221 241 259 236 352 302
FOXJ3 311 420 354 257 558 405 597
PPCS 2156 2581 2412 2046 3040 2922 3582
CCDC30 74 38 49 79 49 62 53
PPIH 1952 2031 2453 1709 2074 2876 2738
YBX1 28433 24816 42750 24132 28793 44613 42244
P3H1 281 210 280 218 203 292 297
C1orf50 743 965 798 802 1339 1091 1330
SVBP 874 1009 1124 859 1408 1032 1323
ERMAP 41 60 49 41 55 57 60
RP11-342M1.3 37 25 45 29 32 60 42
ZNF691 178 147 220 164 127 215 218
SLC2A1 1261 1694 764 979 1788 1489 2036
SLC2A1-AS1 18 74 18 43 184 22 75
EBNA1BP2 2430 916 3957 1990 998 4102 2085
RP1-92O14.3 23 36 23 26 51 24 44
ELOVL1 951 591 1185 760 660 1277 689
MED8 1293 1306 1527 1455 1705 1698 1895
SZT2 108 75 155 125 91 169 127
HYI 219 333 290 283 545 173 332
PTPRF 28 148 15 27 158 44 281
KDM4A 250 251 363 320 322 480 389
KDM4A-AS1 31 24 61 38 18 49 37
ST3GAL3 115 105 127 126 90 154 120
RP11-7O11.3 13 44 12 18 46 10 55
IPO13 85 62 135 103 50 154 78
DPH2 324 200 507 283 249 549 346
ATP6V0B 4359 2478 6330 3840 2704 6049 3516
CCDC24 56 19 76 37 12 103 34
SLC6A9 48 29 84 49 29 150 81
RP5-1198O20.4 77 77 97 80 61 156 118
DMAP1 674 567 900 564 735 903 818
ERI3 818 559 1079 664 580 1054 1011
RNF220 371 313 514 325 441 534 412
TMEM53 168 86 214 130 77 236 130
C1orf228 1482 2001 2082 1469 2844 2759 3739
RPS8 84146 137057 103653 83308 215866 111324 181161
BEST4 42 33 44 38 45 60 81
PLK3 927 815 1013 849 947 1219 1162
PTCH2 58 23 41 48 22 64 18
EIF2B3 633 496 876 520 503 860 757
HECTD3 200 113 199 148 140 160 101
UROD 1471 770 1966 1214 699 1845 1456
HPDL 78 34 125 60 48 94 85
MUTYH 420 401 552 540 620 607 403
TOE1 525 286 718 435 288 749 408
TESK2 80 56 89 76 82 106 75
CCDC163P 106 188 96 73 116 102 197
MMACHC 41 47 77 39 38 70 55
PRDX1 20928 12144 28409 15804 8621 34089 24221
AKR1A1 3130 2604 4520 2869 2882 4965 3656
NASP 7170 5116 9225 5714 4842 10702 7668
GPBP1L1 922 824 1043 969 1126 1209 1193
TMEM69 504 612 686 490 846 806 855
IPP 311 213 331 266 249 370 339
MAST2 131 83 169 124 72 190 104
PIK3R3 13 3 41 18 6 35 7
POMGNT1 469 179 511 339 199 534 261
LRRC41 670 650 812 700 710 831 836
UQCRH 12482 18611 16304 10964 22356 16251 25113
NSUN4 266 228 334 267 331 355 413
FAAH 20 6 26 13 16 21 27
MKNK1 552 568 618 522 684 737 729
MOB3C 159 98 146 146 93 222 115
ATPAF1 1186 981 1482 1039 939 1737 1513
EFCAB14 1050 996 1309 966 1265 1362 1329
STIL 282 247 391 280 316 474 383
CMPK1 3714 3623 4072 3118 4645 4365 4840
FOXD2-AS1 30 13 30 20 10 35 18
SPATA6 41 49 42 50 50 85 69
BEND5 370 3147 226 410 4369 968 5311
FAF1 553 801 541 538 1086 535 802
CDKN2C 171 418 164 162 658 58 269
RNF11 610 623 615 564 955 725 788
EPS15 1114 785 1123 942 959 1351 1189
OSBPL9 887 755 965 752 875 1273 1111
NRDC 2475 2219 3121 2491 2259 3731 3570
TXNDC12 1460 1199 1767 1255 1232 1720 1840
KTI12 426 295 630 413 439 607 401
BTF3L4 1971 1936 2620 1764 2094 2750 2942
ZFYVE9 25 117 31 53 192 36 93
CC2D1B 271 135 347 257 230 391 250
ORC1 394 538 494 335 680 594 836
PRPF38A 1516 1860 1827 1271 2577 2006 2492
ZCCHC11 1670 2277 1853 1764 3464 1879 3303
GPX7 614 473 647 446 447 767 607
FAM159A 199 547 222 137 738 247 655
COA7 335 184 534 275 218 486 276
ZYG11B 238 225 283 250 355 287 373
ECHDC2 668 481 660 642 532 687 773
SCP2 2720 2657 3346 2395 2979 3355 3808
CPT2 410 252 463 367 236 638 311
C1orf123 943 840 1169 784 753 1298 1075
RP5-1024G6.7 20 35 25 21 31 22 62
MAGOH 4649 3031 5971 3855 3154 6316 4402
RP5-1024G6.5 20 17 13 19 29 26 18
LRP8 270 63 333 224 67 296 110
RP11-117D22.2 43 29 51 51 44 26 25
NDC1 343 335 415 273 399 417 425
YIPF1 438 401 610 421 508 698 682
HSPB11 5394 4075 6944 5076 5018 7389 6808
LRRC42 887 1006 965 743 1225 1285 1241
TMEM59 5787 5333 6139 5097 7353 6178 6815
TCEANC2 411 259 494 371 220 638 329
CYB5RL 52 55 72 55 65 68 92
MRPL37 2245 2433 3021 1923 2803 3306 3580
SSBP3 431 815 535 432 958 482 1190
ACOT11 28 43 20 18 40 23 73
TTC4 181 133 258 156 213 258 239
PARS2 66 61 92 64 74 109 103
TTC22 184 105 134 146 105 171 201
DHCR24 324 93 385 313 116 521 243
USP24 197 197 176 204 275 248 257
OMA1 199 258 151 185 269 244 271
MYSM1 494 584 535 486 751 633 908
JUN 7835 6208 6050 7046 6466 6542 9479
LINC01358 194 101 89 183 157 123 99
FGGY 184 363 207 193 490 255 459
HOOK1 106 182 159 175 353 181 324
NFIA 231 14 117 87 14 182 16
TM2D1 1438 1241 1485 1352 1419 1601 1737
INADL 293 214 305 317 361 293 367
L1TD1 9 4 10 11 16 18 15
USP1 3324 2598 3925 2870 3040 4665 3742
DOCK7 151 105 137 147 181 184 147
ATG4C 390 327 459 221 303 440 473
ALG6 282 219 415 255 253 297 283
ITGB3BP 1986 2192 1843 1377 1819 2422 3119
EFCAB7 167 124 151 128 125 218 184
PGM1 1091 1076 1037 887 971 1564 1181
CACHD1 5 10 6 12 40 23 26
RAVER2 59 33 24 25 11 42 16
JAK1 4142 4565 5073 4170 5925 6073 7404
LEPROT 1369 1129 1488 1085 1521 1510 1208
LEPR 61 81 67 50 91 79 82
PDE4B 2196 1037 2115 1514 1335 1950 1629
WDR78 26 12 24 18 12 28 20
MIER1 2445 2402 3038 2242 2587 4003 3993
SLC35D1 103 106 145 88 165 159 191
IL12RB2 302 187 323 353 210 523 385
SERBP1 12661 11438 16912 10823 13564 19543 19168
GADD45A 1431 1638 1196 1420 2402 1121 1873
LRRC7 26 31 26 31 45 16 59
LRRC40 543 499 594 509 570 755 785
SRSF11 5690 4211 6752 4889 4483 7778 6036
ANKRD13C 324 294 396 299 304 414 337
HHLA3 216 218 227 181 311 227 270
CTH 439 156 914 404 132 589 428
ZRANB2 2978 1609 3590 2738 1786 4023 2696
LRRIQ3 90 81 153 101 134 89 123
FPGT 131 123 167 166 158 166 243
CRYZ 341 200 310 327 271 452 392
TYW3 1012 1033 1379 971 1183 1568 1605
ACADM 2259 1723 2491 1956 1674 2700 2451
RABGGTB 1347 1352 1424 1336 1870 1715 2284
PIGK 348 231 421 298 202 416 304
AK5 6 37 8 22 103 16 81
ZZZ3 497 554 549 489 840 655 825
USP33 901 753 1017 755 798 1189 941
FAM73A 331 417 313 300 535 389 662
FUBP1 2462 2236 2720 1839 2145 3248 3397
DNAJB4 152 288 152 211 425 249 433
GIPC2 3 9 8 9 7 4 9
RP11-386I14.4 227 74 241 180 75 187 84
IFI44L 9043 4503 8187 8905 2756 10842 10777
IFI44 4287 1782 4065 4144 1432 5491 4439
RP11-475O6.1 11 7 11 15 12 15 19
TTLL7 82 71 85 100 98 147 129
RP11-486G15.2 58 120 73 90 177 76 206
PRKACB 214 309 311 229 573 278 400
RPF1 1638 1229 2310 1443 1646 2273 1710
GNG5 9589 8305 12243 8613 8425 15020 13510
CTBS 1452 1450 1479 1517 1871 1775 2344
SSX2IP 299 229 348 254 242 396 320
MCOLN2 202 48 442 207 34 562 129
MCOLN3 12 14 18 8 25 15 11
SYDE2 30 63 34 51 130 53 101
C1orf52 581 734 803 592 1161 784 1040
BCL10 631 707 743 710 865 1093 1094
ZNHIT6 656 633 823 604 829 883 1041
ODF2L 1688 693 1837 1524 777 2610 1143
RP4-612B15.3 31 23 46 30 34 37 41
